"","year","country","continent","lifeExp","pop","gdpPercap"
"1",1952,"Afghanistan","Asia",28.801,8425333,779.4453145
"2",1952,"Albania","Europe",55.23,1282697,1601.056136
"3",1952,"Algeria","Africa",43.077,9279525,2449.008185
"4",1952,"Angola","Africa",30.015,4232095,3520.610273
"5",1952,"Argentina","Americas",62.485,17876956,5911.315053
"6",1952,"Australia","Oceania",69.12,8691212,10039.59564
"7",1952,"Austria","Europe",66.8,6927772,6137.076492
"8",1952,"Bahrain","Asia",50.939,120447,9867.084765
"9",1952,"Bangladesh","Asia",37.484,46886859,684.2441716
"10",1952,"Belgium","Europe",68,8730405,8343.105127
"11",1952,"Benin","Africa",38.223,1738315,1062.7522
"12",1952,"Bolivia","Americas",40.414,2883315,2677.326347
"13",1952,"Bosnia and Herzegovina","Europe",53.82,2791000,973.5331948
"14",1952,"Botswana","Africa",47.622,442308,851.2411407
"15",1952,"Brazil","Americas",50.917,56602560,2108.944355
"16",1952,"Bulgaria","Europe",59.6,7274900,2444.286648
"17",1952,"Burkina Faso","Africa",31.975,4469979,543.2552413
"18",1952,"Burundi","Africa",39.031,2445618,339.2964587
"19",1952,"Cambodia","Asia",39.417,4693836,368.4692856
"20",1952,"Cameroon","Africa",38.523,5009067,1172.667655
"21",1952,"Canada","Americas",68.75,14785584,11367.16112
"22",1952,"Central African Republic","Africa",35.463,1291695,1071.310713
"23",1952,"Chad","Africa",38.092,2682462,1178.665927
"24",1952,"Chile","Americas",54.745,6377619,3939.978789
"25",1952,"China","Asia",44,556263527,400.448611
"26",1952,"Colombia","Americas",50.643,12350771,2144.115096
"27",1952,"Comoros","Africa",40.715,153936,1102.990936
"28",1952,"Congo, Dem. Rep.","Africa",39.143,14100005,780.5423257
"29",1952,"Congo, Rep.","Africa",42.111,854885,2125.621418
"30",1952,"Costa Rica","Americas",57.206,926317,2627.009471
"31",1952,"Cote d'Ivoire","Africa",40.477,2977019,1388.594732
"32",1952,"Croatia","Europe",61.21,3882229,3119.23652
"33",1952,"Cuba","Americas",59.421,6007797,5586.53878
"34",1952,"Czech Republic","Europe",66.87,9125183,6876.14025
"35",1952,"Denmark","Europe",70.78,4334000,9692.385245
"36",1952,"Djibouti","Africa",34.812,63149,2669.529475
"37",1952,"Dominican Republic","Americas",45.928,2491346,1397.717137
"38",1952,"Ecuador","Americas",48.357,3548753,3522.110717
"39",1952,"Egypt","Africa",41.893,22223309,1418.822445
"40",1952,"El Salvador","Americas",45.262,2042865,3048.3029
"41",1952,"Equatorial Guinea","Africa",34.482,216964,375.6431231
"42",1952,"Eritrea","Africa",35.928,1438760,328.9405571
"43",1952,"Ethiopia","Africa",34.078,20860941,362.1462796
"44",1952,"Finland","Europe",66.55,4090500,6424.519071
"45",1952,"France","Europe",67.41,42459667,7029.809327
"46",1952,"Gabon","Africa",37.003,420702,4293.476475
"47",1952,"Gambia","Africa",30,284320,485.2306591
"48",1952,"Germany","Europe",67.5,69145952,7144.114393
"49",1952,"Ghana","Africa",43.149,5581001,911.2989371
"50",1952,"Greece","Europe",65.86,7733250,3530.690067
"51",1952,"Guatemala","Americas",42.023,3146381,2428.237769
"52",1952,"Guinea","Africa",33.609,2664249,510.1964923
"53",1952,"Guinea-Bissau","Africa",32.5,580653,299.850319
"54",1952,"Haiti","Americas",37.579,3201488,1840.366939
"55",1952,"Honduras","Americas",41.912,1517453,2194.926204
"56",1952,"Hong Kong, China","Asia",60.96,2125900,3054.421209
"57",1952,"Hungary","Europe",64.03,9504000,5263.673816
"58",1952,"Iceland","Europe",72.49,147962,7267.688428
"59",1952,"India","Asia",37.373,3.72e+08,546.5657493
"60",1952,"Indonesia","Asia",37.468,82052000,749.6816546
"61",1952,"Iran","Asia",44.869,17272000,3035.326002
"62",1952,"Iraq","Asia",45.32,5441766,4129.766056
"63",1952,"Ireland","Europe",66.91,2952156,5210.280328
"64",1952,"Israel","Asia",65.39,1620914,4086.522128
"65",1952,"Italy","Europe",65.94,47666000,4931.404155
"66",1952,"Jamaica","Americas",58.53,1426095,2898.530881
"67",1952,"Japan","Asia",63.03,86459025,3216.956347
"68",1952,"Jordan","Asia",43.158,607914,1546.907807
"69",1952,"Kenya","Africa",42.27,6464046,853.540919
"70",1952,"Korea, Dem. Rep.","Asia",50.056,8865488,1088.277758
"71",1952,"Korea, Rep.","Asia",47.453,20947571,1030.592226
"72",1952,"Kuwait","Asia",55.565,160000,108382.3529
"73",1952,"Lebanon","Asia",55.928,1439529,4834.804067
"74",1952,"Lesotho","Africa",42.138,748747,298.8462121
"75",1952,"Liberia","Africa",38.48,863308,575.5729961
"76",1952,"Libya","Africa",42.723,1019729,2387.54806
